PeakLeft,ActivationLeft,DeactivationLeft,PeakRight,ActivationRight,DeactivationRight,MeanLeft,MeanRight,Label
0.26,0.07,0.99,0.21,0,0.9,nan,nan,1
0.16,0,0.96,0.25,0.03,0.99,inf,nan,0
0.22,0.04,0.99,0.19,0,0.89,nan,inf,1
0.19,0,0.99,0.3,0.07,0.89,0,1,0
0.22,0.05,0.99,0.18,0,0.91,nan,nan,1
0.19,0,0.99,0.24,0.03,0.98,-0.33,1,0
0.23,0.05,0.99,0.16,0,0.78,0.6,1,1
0.2,0,0.99,0.23,0.1,0.83,0.14,1,0
0.26,0.09,0.99,0.2,0,0.93,nan,inf,1
0.18,0,0.99,0.29,0.11,0.95,-0.11,1,0
0.25,0.08,0.99,0.2,0,0.9,nan,inf,1
0.17,0,0.99,0.29,0.16,0.92,0,1,0
0.26,0.08,0.99,0.16,0,0.86,1,0,1
0.18,0,0.96,0.26,0.08,0.99,-1,1,0
0.26,0.07,0.99,0.19,0,0.84,1,1,1
0.18,0,0.99,0.21,0.11,0.89,0,1,0
0.21,0.05,0.99,0.17,0,0.91,nan,nan,1
0.18,0,0.99,0.25,0.1,0.98,-0.14,1,0
0.25,0.04,0.99,0.22,0,0.96,1,5,1
0.16,0,0.99,0.26,0.08,0.92,0,1,0
0.23,0.05,0.98,0.22,0,0.99,1,2,1
0.16,0,0.99,0.27,0.13,0.98,-0.13,1,0
0.23,0.08,0.99,0.19,0,0.95,nan,inf,1
0.2,0,0.99,0.26,0.1,0.95,0,1,0
0.27,0.04,0.99,0.2,0,0.88,1,0,1
0.19,0,0.99,0.25,0.1,0.77,0.17,1,0
0.29,0.04,0.99,0.19,0,0.81,1,0.5,1
0.2,0,0.99,0.21,0.09,0.91,0,1,0
0.23,0.03,0.99,0.17,0,0.83,0.67,1,1
0.19,0,0.99,0.27,0.12,0.92,0,1,0
0.24,0.06,0.99,0.14,0,0.77,0.67,1,1
0.21,0,0.99,0.25,0.12,0.92,0,1,0
0.28,0.08,0.99,0.2,0,0.84,1,0.67,1
0.17,0,0.99,0.23,0.09,0.88,0,1,0
0.21,0.06,0.99,0.2,0,0.99,1,1.5,1
0.18,0,0.99,0.25,0.09,0.81,0.13,1,0
0.22,0.06,0.99,0.19,0,0.89,nan,inf,1
0.18,0,0.98,0.25,0.07,0.99,-0.67,1,0
0.21,0.05,0.99,0.14,0,0.87,1,1,1
0.16,0,0.96,0.27,0.09,0.99,-1.5,1,0
0.23,0.06,0.99,0.19,0,0.95,nan,inf,1
0.2,0,0.99,0.27,0.09,0.94,0,1,0
0.23,0.04,0.99,0.14,0,0.84,0.33,1,1
0.18,0,0.99,0.23,0.08,0.94,0,1,0
0.23,0.06,0.99,0.24,0,0.96,1,5,1
0.18,0,0.99,0.21,0.12,0.79,0.14,1,0
0.24,0.08,0.99,0.24,0,0.94,nan,inf,1
0.18,0,0.99,0.25,0.09,0.93,0,1,0
0.22,0.03,0.99,0.19,0,0.91,0,1,1
0.19,0,0.99,0.24,0.1,0.91,0,1,0
0.23,0.04,0.99,0.25,0,0.95,nan,inf,1
0.18,0,0.99,0.22,0.1,0.84,0.14,1,0
0.23,0.05,0.99,0.22,0,0.96,1,2,1
0.17,0,0.98,0.25,0.06,0.99,-0.67,1,0
0.25,0.08,0.99,0.15,0,0.83,1,0,1
0.19,0,0.99,0.24,0.1,0.89,0,1,0
0.25,0.04,0.99,0.13,0,0.74,0.57,1,1
0.16,0,0.91,0.29,0.08,0.99,-4,1,0
0.26,0.07,0.99,0.2,0,0.96,1,6,1
0.18,0,0.99,0.26,0.05,0.96,-0.17,1,0
0.24,0.04,0.99,0.14,0,0.76,0.57,1,1
0.23,0,0.99,0.26,0.1,0.89,0,1,0
0.27,0.1,0.99,0.24,0,0.99,1,4.5,1
0.2,0,0.99,0.31,0.13,0.96,-0.11,1,0
0.22,0.05,0.99,0.18,0,0.93,nan,inf,1
0.2,0,0.99,0.28,0.1,0.98,-0.11,1,0
0.26,0.15,0.99,0.18,0,0.91,nan,inf,1
0.2,0,0.99,0.18,0.09,0.63,0.26,1,0
0.29,0.04,0.99,0.2,0,0.82,1,0.5,1
0.19,0,0.99,0.23,0.08,0.91,0,1,0
0.25,0.08,0.99,0.22,0,0.93,nan,inf,1
0.17,0,0.99,0.27,0.07,0.93,0,1,0
0.29,0.08,0.99,0.2,0,0.94,nan,inf,1
0.19,0,0.99,0.23,0.08,0.93,0,1,0
0.26,0.05,0.99,0.17,0,0.75,1,1,1
0.11,0,0.87,0.22,0.06,0.99,inf,nan,0
0.26,0.08,0.99,0.22,0,0.89,nan,nan,1
0.17,0,0.99,0.27,0.1,0.91,0,1,0
0.26,0.1,0.99,0.18,0,0.71,0.8,1,1
0.21,0,0.99,0.25,0.12,0.83,0.15,1,0
0.26,0.07,0.99,0.19,0,0.96,1,7,1
0.16,0,0.99,0.23,0.08,0.93,0,1,0
0.27,0.07,0.99,0.22,0,0.92,nan,inf,1
0.17,0,0.99,0.26,0.07,0.95,-0.2,1,0
0.25,0.05,0.99,0.12,0,0.78,1,0.5,1
0.17,0,0.99,0.24,0.09,0.91,0,1,0
0.24,0.04,0.92,0.23,0,0.99,1,3.5,1
0.16,0,0.99,0.27,0.14,0.93,0,1,0
0.23,0.07,0.99,0.2,0,0.96,nan,inf,1
0.16,0,0.99,0.22,0.07,0.93,0,1,0
0.29,0.05,0.99,0.18,0,0.85,1,0,1
0.16,0,0.99,0.25,0.13,0.93,0,1,0
0.25,0.04,0.96,0.25,0,0.99,1,3.67,1
0.21,0,0.99,0.24,0.1,0.93,0,1,0
0.23,0.02,0.99,0.18,0,0.86,0.67,1,1
0.18,0,0.99,0.22,0.11,0.79,0.1,1,0
0.24,0.11,0.99,0.17,0,0.88,1,-2,1
0.18,0,0.99,0.25,0.06,0.98,-0.25,1,0
0.22,0.03,0.99,0.16,0,0.84,0.67,1,1
0.17,0,0.99,0.24,0.08,0.93,0,1,0
0.25,0.05,0.99,0.19,0,0.89,nan,inf,1
0.21,0,0.99,0.22,0.08,0.86,0,1,0
0.23,0.05,0.99,0.11,0,0.69,0.55,1,1
0.18,0,0.99,0.3,0.1,0.94,0,1,0
0.29,0.04,0.99,0.2,0,0.88,1,-1.5,1
0.19,0,0.99,0.26,0.1,0.98,-0.17,1,0
0.27,0.05,0.99,0.2,0,0.83,1,0,1
0.13,0,0.96,0.22,0.06,0.99,-2,1,0
0.23,0.08,0.99,0.2,0,0.98,1,3.5,1
0.2,0,0.99,0.26,0.11,0.89,0,1,0
0.24,0.06,0.99,0.13,0,0.75,0.8,1,1
0.17,0,0.99,0.26,0.07,0.86,0.09,1,0
0.27,0.06,0.08,0.24,0,0.98,1,3.5,1
0.18,0,0.99,0.29,0.09,0.99,-0.33,1,0
0.26,0.04,0.99,0.18,0,0.84,1,0,1
0.18,0,0.99,0.22,0.04,0.95,-0.2,1,0
0.21,0.03,0.99,0.15,0,0.69,0.37,1,1
0.17,0,0.99,0.24,0.1,0.94,0,1,0
0.21,0.03,0.99,0.17,0,0.94,nan,inf,1
0.2,0,0.99,0.25,0.09,0.96,0,1,0
0.26,0.06,0.99,0.19,0,0.86,1,0,1
0.2,0,0.99,0.29,0.09,0.96,-0.13,1,0
0.27,0.05,0.99,0.22,0,0.96,nan,inf,1
0.18,0,0.99,0.28,0.09,0.96,0,1,0
0.21,0.06,0.99,0.24,0,0.9,nan,nan,1
0.21,0,0.99,0.26,0.11,0.96,0,1,0
0.26,0.13,0.99,0.17,0,0.88,nan,inf,1
0.18,0,0.99,0.23,0.1,0.93,0,1,0
